mesh,mesh_label,method,phase,DMC_relative_kJmol,relative_kJmol,error_kJmol
k444,4x4x4,GFN2-xTB,IX,0.600000,-2.688544,-3.288544
k444,4x4x4,GFN2-xTB,XI,0.160000,-0.428900,-0.588900
k444,4x4x4,GFN2-xTB,XIII,2.120000,-4.226296,-6.346296
k444,4x4x4,GFN2-xTB,XIV,1.700000,-1.238543,-2.938543
k444,4x4x4,GFN2-xTB,XV,1.740000,-2.705042,-4.445042
k444,4x4x4,GFN2-xTB,XVII,1.750000,-2.365961,-4.115961
k444,4x4x4,g-xTB,Ih,0.000000,0.000000,0.000000
k444,4x4x4,g-xTB,II,0.310000,-5.828687,-6.138687
k444,4x4x4,g-xTB,III,1.250000,-1.659650,-2.909650
k444,4x4x4,g-xTB,IV,3.830000,-0.257791,-4.087791
k444,4x4x4,g-xTB,VI,1.780000,-6.269504,-8.049504
k444,4x4x4,g-xTB,VII,4.990000,-59.069883,-64.059883
k444,4x4x4,g-xTB,VIII,4.230000,-6.125938,-10.355938
k444,4x4x4,g-xTB,IX,0.600000,-3.163173,-3.763173
k444,4x4x4,g-xTB,XI,0.160000,-15.722450,-15.882450
k444,4x4x4,g-xTB,XIII,2.120000,-2.499917,-4.619917
k444,4x4x4,g-xTB,XIV,1.700000,-26.967927,-28.667927
k444,4x4x4,g-xTB,XV,1.740000,-6.313577,-8.053577
k444,4x4x4,g-xTB,XVII,1.750000,-6.133404,-7.883404
k555,5x5x5,GFN1-xTB,Ih,0.000000,0.000000,0.000000
k555,5x5x5,GFN1-xTB,II,0.310000,-7.555453,-7.865453
k555,5x5x5,GFN1-xTB,III,1.250000,-3.596642,-4.846642
k555,5x5x5,GFN1-xTB,IV,3.830000,-3.822366,-7.652366
k555,5x5x5,GFN1-xTB,VI,1.780000,-10.135959,-11.915959
k555,5x5x5,GFN1-xTB,VII,4.990000,-3.935046,-8.925046
k555,5x5x5,GFN1-xTB,VIII,4.230000,-9.434182,-13.664182
k555,5x5x5,GFN1-xTB,IX,0.600000,-5.016885,-5.616885
k555,5x5x5,GFN1-xTB,XI,0.160000,-1.362585,-1.522585
k555,5x5x5,GFN1-xTB,XIII,2.120000,-6.265234,-8.385234
k555,5x5x5,GFN1-xTB,XIV,1.700000,-7.068673,-8.768673
k555,5x5x5,GFN1-xTB,XV,1.740000,-10.024898,-11.764898
k555,5x5x5,GFN1-xTB,XVII,1.750000,-3.399902,-5.149902
k555,5x5x5,GFN2-xTB,Ih,0.000000,0.000000,0.000000
k555,5x5x5,GFN2-xTB,II,0.310000,-3.410028,-3.720028
k555,5x5x5,GFN2-xTB,III,1.250000,-1.988169,-3.238169
k555,5x5x5,GFN2-xTB,IV,3.830000,-0.638989,-4.468989
k555,5x5x5,GFN2-xTB,VI,1.780000,-2.875170,-4.655170
