mesh_n,mesh_id,provider,phase,n_H2O_primitive,absolute_energy_Ha_per_primitive,relative_energy_kJmol_per_H2O,DMC_reference_kJmol_per_H2O,signed_error_kJmol_per_H2O,reference_phase,source_sha256,status
3,k333,cp2k_native,III,12,-917.506399566835626,-2.299610989215,1.250000,-3.549610989215,Ih,5ec0eb54f8a210a30ad072f891e0a06c1673856afc73203d5ba04d8bf85b23bb,recorded
3,k333,cp2k_native,IV,16,-1223.310152766876172,2.904346264250,3.830000,-0.925653735750,Ih,71ca5d57cb66cdec520705721e179af0c7f597708a16743d2b3ca699eb8bff32,recorded
3,k333,cp2k_native,VI,10,-764.626835855699483,-12.321024960811,1.780000,-14.101024960811,Ih,6c78db7e03e7fd1020ee4cc3fe85018d4b48c1e7985e968252fac1ab58506a18,recorded
3,k333,cp2k_native,VII,12,-918.199289561648811,-153.898146868881,4.990000,-158.888146868881,Ih,492ad8f30ed76d65656983e6b38c02acbf6a04a60501720b3f7a60d35c55eed5,recorded
3,k333,cp2k_native,VIII,8,-611.781195175949392,-38.486259246179,4.230000,-42.716259246179,Ih,a3377fb91ad0b72c05438d075936302d80b922bfe3ef350ae92b04882f482ad0,recorded
3,k333,cp2k_native,IX,12,-917.507137198977944,-2.460998732780,0.600000,-3.060998732780,Ih,59fdbe35dfd2e4abe110f8aa25b0a82655a49440eb5e74c7285e5279671ee138,recorded
3,k333,cp2k_native,XI,8,-611.854436577004890,-62.523168240907,0.160000,-62.683168240907,Ih,43e2db5bd0a8b043557d90ce56d531f7d2e2016ab3c51736954e5f6a156e9685,recorded
3,k333,cp2k_native,XIII,28,-2140.813857906366593,0.926729513439,2.120000,-1.193270486561,Ih,3bbe38398139c210dfa684013ec6dd96810228df9fba1978fe84e0ec30a1bacc,recorded
3,k333,cp2k_native,XIV,12,-917.879357610311786,-83.899711667214,1.700000,-85.599711667214,Ih,f508028aa6c7dd28c77ba0be083647ed984c1992cc60cc17dd21a0f07a883635,recorded
3,k333,cp2k_native,XV,10,-764.627690823530770,-12.545496733965,1.740000,-14.285496733965,Ih,88f26cd8d04f1a1c38af60c41cd8aaae6d4b40bd764e320d551b4f282eb79ac3,recorded
3,k333,cp2k_native,XVII,6,-458.771863144769441,-10.466385734667,1.750000,-12.216385734667,Ih,dd1d8c96bbd502d354bb4cfbf9e9e5d0d7542cdf4e703702f795adfb06ab12a1,recorded
3,k333,save_tblite_cli,Ih,12,-917.495889035489199,0.000000000000,0.000000,+0.000000000000,Ih,0cb9af51b5ed47c5381fc48ae10a3fac6bd2d36282bc3d70c9e15f13fc60fea0,recorded
3,k333,save_tblite_cli,II,12,-917.537262319641741,-9.052128547127,0.310000,-9.362128547127,Ih,7364dc369bb8f519430220749ec21f7ee545ba8fd38d4fff5c703c9ccc9ddeb6,recorded
3,k333,save_tblite_cli,III,12,-917.506399570003168,-2.299617046813,1.250000,-3.549617046813,Ih,b88af0ac39c63548faf98800ef56da13ef37b59da4ee8fae70ddd8df4c1d1c47,recorded
3,k333,save_tblite_cli,IV,16,-1223.310152770477544,2.904340308733,3.830000,-0.925659691267,Ih,bb258f3be4bf3077bd5252f860a060e653aa301e8cf670da96069796350abf00,recorded
3,k333,save_tblite_cli,VI,10,-764.626835859397943,-12.321031296411,1.780000,-14.101031296411,Ih,7ffb9a40799e8cbc1464a114876be57f85ca7d09a88c5bd4b68e02842264adb9,recorded
3,k333,save_tblite_cli,VII,12,-918.199289459178658,-153.898129813835,4.990000,-158.888129813835,Ih,38d49b351ff74d0cd3f8496bc834f6d9fd4552a062d548fc35c06aa82dc56213,recorded
3,k333,save_tblite_cli,VIII,8,-611.781195180717077,-38.486266175428,4.230000,-42.716266175428,Ih,3e76cb51246f04e28acda0a9a06a2ff8aaf0a83afe0cce59c6d3cc2134cd5a66,recorded
3,k333,save_tblite_cli,IX,12,-917.507137198851751,-2.461004069725,0.600000,-3.061004069725,Ih,3d71dea964c81d4310cce87d3ddb54c50c531c0df3fe9f4827bcc9363c368794,recorded
3,k333,save_tblite_cli,XI,8,-611.854436581951290,-62.523175228808,0.160000,-62.683175228808,Ih,7e47189916cfc7bc3ef06713b22e52675f517b4d9dcd599ad42bb8ce6e71ad44,recorded
3,k333,save_tblite_cli,XIII,28,-2140.813857913435641,0.926723486061,2.120000,-1.193276513939,Ih,8edac10f3ab625fd68ace9a8a582ef29cd6d446d74b4904df1a442618106d8d3,recorded
3,k333,save_tblite_cli,XIV,12,-917.879357619031794,-83.899718939646,1.700000,-85.599718939646,Ih,ec3b6089243c9361542a520230273567b329ea6778b8dbf9df4cbabdd0a50073,recorded
3,k333,save_tblite_cli,XV,10,-764.627690827218089,-12.545503066618,1.740000,-14.285503066618,Ih,b04db5c795a2b3cc66ec1b5f4dc11fcac808b4f1d8b48949317ef6c9c7e1de9b,recorded
3,k333,save_tblite_cli,XVII,6,-458.771863146718090,-10.466391951917,1.750000,-12.216391951917,Ih,033b7f814d3ab92072b808a392823d392d72b4221acdb4b6a6eb72faeec5ccad,recorded
4,k444,cp2k_native,Ih,12,-917.480804555006102,0.000000000000,0.000000,+0.000000000000,Ih,0aa4f8ae8e35563afe291c8cd32dfaf119459b7ec774e0ba34ccf40a8f946414,recorded
4,k444,cp2k_native,II,12,-917.492291028489035,-2.513144330970,0.310000,-2.823144330970,Ih,f047a5cbb3fedd5b3b837db391401dd7798eae8ec51a16ae78b1a9a29481a9fc,recorded
4,k444,cp2k_native,III,12,-917.475027203721083,1.264036142260,1.250000,+0.014036142260,Ih,89b891054231100d93a5a6a18d9aba6bbfdabe1eb4a085a2028961c4fec4b793,recorded
4,k444,cp2k_native,IV,16,-1223.299172848712942,1.405718426723,3.830000,-2.424281573277,Ih,509125b54b53f310e5b036263b6bfff34b317623c10eb103cfa37894cf42dd06,recorded
4,k444,cp2k_native,VI,10,-764.571328960676851,-1.048055217187,1.780000,-2.828055217187,Ih,2ce2e6d98bcf30285a3ffab6449f08bc79dbcf79038a4269bb47ead4a4996b0e,recorded
4,k444,cp2k_native,VII,12,-917.773115791423038,-63.955253783025,4.990000,-68.945253783025,Ih,fe60aeb6466079c241457b888f7f60ddec145011688d497100ceb0ad57c21b6d,recorded
4,k444,cp2k_native,VIII,8,-611.672650059675902,-6.163477346043,4.230000,-10.393477346043,Ih,96e1005da0a8d9e6d8393093bd60d1e0c76dd868c3acab3c51e1fce82c28e89e,recorded
4,k444,cp2k_native,IX,12,-917.482508782765308,-0.372870780430,0.600000,-0.972870780430,Ih,fe7054250de4ab3d5438ff6a2e5d6d37b31a04f3905bebb480402e3825ee9365,recorded
4,k444,cp2k_native,XI,8,-611.699194429868612,-14.875006637530,0.160000,-15.035006637530,Ih,075cdddb5a6d8f55bb38fe763af9b21219794c82442d7fea93a9c640ebb34aff,recorded
4,k444,cp2k_native,XIII,28,-2140.787231490209251,0.123067620461,2.120000,-1.996932379539,Ih,228406e9009dcfcc244f352d547ed50e003cfc45e06e3168a6ec93d4c883337d,recorded
4,k444,cp2k_native,XIV,12,-917.590215044435126,-23.938100032442,1.700000,-25.638100032442,Ih,67ead01157baa9b07aa586fa6e5df1588c25d7ce9cf22394f248313d3d7793e1,recorded
4,k444,cp2k_native,XV,10,-764.571516857904271,-1.097387627414,1.740000,-2.837387627414,Ih,2196e976f8d08f35526af1d64215b322895db4d5e3be138ce3c663de4ab11332,recorded
4,k444,cp2k_native,XVII,6,-458.742064187678068,-0.727224093828,1.750000,-2.477224093828,Ih,8bf8ef2b58e01640ff82202f874c436a83882efe6daba232a48876fd1fbfe391,recorded
4,k444,save_tblite_cli,Ih,12,-917.480804529053785,0.000000000000,0.000000,+0.000000000000,Ih,21bee2711afff2550fa1a122a6e0418ad230f7821ce35a98a30f643bc55f6dac,recorded
4,k444,save_tblite_cli,VII,12,-917.773115679897728,-63.955235060345,4.990000,-68.945235060345,Ih,1355fe8964e8c05bd6cd435748a79983514c67e197b0a9a4d0d7a2962006ad6a,recorded
4,k444,save_tblite_cli,XVII,6,-458.742064188826873,-0.727230274664,1.750000,-2.477230274664,Ih,070c98a0ae1b6f8dd5a6eaddfc45ee906450fd7e0a72e25d95df0fb7ee18c149,recorded
