source,method,system,label,volume_A3,x23b_reported_ref_volume_A3,volume_error_percent
this work,GFN1-xTB k222 opt,anthracene,Anthracene,356.999441,441.200000,-19.084442
this work,GFN2-xTB k222 opt,anthracene,Anthracene,374.225338,441.200000,-15.180114
this work,GFN1-xTB k222 opt,benzene,Benzene,436.564736,444.300000,-1.741000
this work,GFN2-xTB k222 opt,benzene,Benzene,466.646982,444.300000,5.029706
this work,GFN1-xTB k222 opt,co2,Carbon dioxide,188.954687,164.800000,14.656970
this work,GFN2-xTB k222 opt,co2,Carbon dioxide,160.153226,164.800000,-2.819644
this work,GFN1-xTB k222 opt,cyanamide,Cyanamide,356.984897,407.900000,-12.482251
this work,GFN2-xTB k222 opt,cyanamide,Cyanamide,382.373238,407.900000,-6.258093
this work,GFN1-xTB k222 opt,cytosine,Cytosine,419.480758,440.300000,-4.728422
this work,GFN2-xTB k222 opt,cytosine,Cytosine,424.101516,440.300000,-3.678965
this work,GFN1-xTB k222 opt,ethylcarbamate,Ethyl carbamate,211.042173,231.200000,-8.718783
this work,GFN2-xTB k222 opt,ethylcarbamate,Ethyl carbamate,235.399132,231.200000,1.816234
this work,GFN1-xTB k222 opt,formamide,Formamide,191.686713,211.900000,-9.539069
this work,GFN2-xTB k222 opt,formamide,Formamide,204.607003,211.900000,-3.441716
this work,GFN1-xTB k222 opt,hexamine,Hexamine,154.709088,321.600000,-3.787881
this work,GFN2-xTB k222 opt,hexamine,Hexamine,160.791284,321.600000,-0.005420
this work,GFN1-xTB k222 opt,imidazole,Imidazole,273.441207,336.400000,-18.715456
this work,GFN2-xTB k222 opt,imidazole,Imidazole,287.246589,336.400000,-14.611597
this work,GFN1-xTB k222 opt,naphthalene,Naphthalene,273.340302,329.700000,-17.094237
this work,GFN2-xTB k222 opt,naphthalene,Naphthalene,286.534770,329.700000,-13.092275
this work,GFN1-xTB k222 opt,oxalic_acid_alpha,Oxalic acid alpha,281.196456,293.200000,-4.093978
this work,GFN2-xTB k222 opt,oxalic_acid_alpha,Oxalic acid alpha,280.404320,293.200000,-4.364147
this work,GFN1-xTB k222 opt,oxalic_acid_beta,Oxalic acid beta,136.899314,150.500000,-9.037001
this work,GFN2-xTB k222 opt,oxalic_acid_beta,Oxalic acid beta,146.698351,150.500000,-2.526013
this work,GFN1-xTB k222 opt,pyrazine,Pyrazine,182.759418,189.600000,-3.607902
this work,GFN2-xTB k222 opt,pyrazine,Pyrazine,185.992967,189.600000,-1.902444
this work,GFN1-xTB k222 opt,pyrazole,Pyrazole,658.084480,662.500000,-0.666494
this work,GFN2-xTB k222 opt,pyrazole,Pyrazole,701.851260,662.500000,5.939813
this work,GFN1-xTB k222 opt,succinic_acid,Succinic acid,219.721009,233.300000,-5.820399
this work,GFN2-xTB k222 opt,succinic_acid,Succinic acid,240.043357,233.300000,2.890423
this work,GFN1-xTB k222 opt,triazine,s-Triazine,477.258917,528.000000,-9.610054
this work,GFN2-xTB k222 opt,triazine,s-Triazine,505.245089,528.000000,-4.309642
this work,GFN1-xTB k222 opt,trioxane,s-Trioxane,563.384335,580.700000,-2.981861
this work,GFN2-xTB k222 opt,trioxane,s-Trioxane,599.403538,580.700000,3.220861
this work,GFN1-xTB k222 opt,uracil,Uracil,416.180701,442.000000,-5.841470
this work,GFN2-xTB k222 opt,uracil,Uracil,428.500721,442.000000,-3.054136
this work,GFN1-xTB k222 opt,urea,Urea,135.518170,140.800000,-3.751300
this work,GFN2-xTB k222 opt,urea,Urea,131.839755,140.800000,-6.363810
